00 testrun
00 01
00 testingapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:05:28 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):78432.86  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
02 timestamp(ms):80075.89 rotation(x,y,z):0,0,-5.336
02 timestamp(ms):80098.13 rotation(x,y,z):0,0,-6.24
02 timestamp(ms):80120.16 rotation(x,y,z):0,0,-7.128
02 timestamp(ms):80142.66 rotation(x,y,z):0,0,-8.01
02 timestamp(ms):80164.78 rotation(x,y,z):0,0,-8.907
02 timestamp(ms):80187.07 rotation(x,y,z):0,0,-9.793
02 timestamp(ms):80209.12 rotation(x,y,z):0,0,-10.683
02 timestamp(ms):80231.52 rotation(x,y,z):0,0,-11.567
02 timestamp(ms):80253.43 rotation(x,y,z):0,0,-12.462
02 timestamp(ms):80275.72 rotation(x,y,z):0,0,-13.34
02 timestamp(ms):80298.34 rotation(x,y,z):0,0,-14.229
02 timestamp(ms):80320.39 rotation(x,y,z):0,0,-15
02 timestamp(ms):80342.58 rotation(x,y,z):0,0,-14.117
02 timestamp(ms):80364.97 rotation(x,y,z):0,0,-13.229
02 timestamp(ms):80386.77 rotation(x,y,z):0,0,-12.333
02 timestamp(ms):80409.02 rotation(x,y,z):0,0,-11.46
02 timestamp(ms):80431.82 rotation(x,y,z):0,0,-10.569
02 timestamp(ms):80453.38 rotation(x,y,z):0,0,-9.659
02 timestamp(ms):80475.88 rotation(x,y,z):0,0,-8.796
02 timestamp(ms):80498 rotation(x,y,z):0,0,-7.897
